Name|Type|Size|Parent Directory
DeepPyLearningGB|directory|0|C:\Users\Marsel\pythonProject
COMMIT_EDITMSG|file|28|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git
config|file|312|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git
description|file|73|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git
FETCH_HEAD|file|111|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git
HEAD|file|23|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git
index|file|5323|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git
ORIG_HEAD|file|41|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git
.git|directory|5911|C:\Users\Marsel\pythonProject\DeepPyLearningGB
applypatch-msg.sample|file|478|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\hooks
commit-msg.sample|file|896|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\hooks
fsmonitor-watchman.sample|file|4726|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\hooks
post-update.sample|file|189|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\hooks
pre-applypatch.sample|file|424|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\hooks
pre-commit.sample|file|1643|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\hooks
pre-merge-commit.sample|file|416|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\hooks
pre-push.sample|file|1374|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\hooks
pre-rebase.sample|file|4898|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\hooks
pre-receive.sample|file|544|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\hooks
prepare-commit-msg.sample|file|1492|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\hooks
push-to-checkout.sample|file|2783|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\hooks
update.sample|file|3650|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\hooks
hooks|directory|23513|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git
exclude|file|240|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\info
info|directory|240|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git
